Name,State,ID,Longitude,Latitude,geometry
Bird Creek,Nevada,1155,-114.64863000000001,39.46138,POINT (-114.64863 39.46138)
Bishop Pass,California,BSH,-118.557,37.1,POINT (-118.557 37.1)
Bison Lake,Colorado,345,-107.35681000000001,39.76487,POINT (-107.35681 39.76487)
Bisson Creek,Montana,346,-113.99901000000001,47.683890000000005,POINT (-113.99901 47.68389000000001)
Black Bear,Montana,347,-111.12803000000001,44.50832,POINT (-111.12803 44.50832)
Black Flat-U.M. Ck,Utah,348,-111.59765,38.6799,POINT (-111.59765 38.6799)
Black Mesa,Colorado,1185,-108.18365,37.78972,POINT (-108.18365 37.78972)
Black Mountain,Colorado,1161,-105.66396999999999,40.888000000000005,POINT (-105.66397 40.88800000000001)
Black Pine,Montana,349,-113.43095,46.413999999999994,POINT (-113.43095 46.41399999999999)
Black Springs,California,BLS,-120.19200000000001,38.375,POINT (-120.192 38.375)
Blackhall Mtn,Wyoming,1119,-106.71383999999999,41.05616,POINT (-106.71384 41.05616)
Blacks Fork Jct,Utah,1162,-110.5828,40.95814,POINT (-110.5828 40.95814)
Blacks Mountain,California,BLA,-121.198,40.77,POINT (-121.198 40.77)
Blacktail Mtn,Montana,1144,-114.3543,47.98288,POINT (-114.3543 47.98288)
Blackwall Peak,British Columbia,2G03P,-120.76666999999999,49.08333,POINT (-120.76667 49.08333)
Blackwater,Wyoming,350,-109.79333000000001,44.376670000000004,POINT (-109.79333 44.37667)
Blazed Alder,Oregon,351,-121.85605,45.4287,POINT (-121.85605 45.4287)
Blewett Pass,Washington,352,-120.6796,47.35037,POINT (-120.6796 47.35037)
Blind Bull Sum,Wyoming,353,-110.60973,42.964,POINT (-110.60973 42.964)
Blind Park,South Dakota,354,-103.97688000000001,44.10772,POINT (-103.97688 44.10772)
Bloods Creek,California,BLD,-120.03299999999999,38.45,POINT (-120.033 38.45)
Bloody Dick,Montana,355,-113.50098999999999,45.16507,POINT (-113.50099 45.16507)
Blue Canyon,California,BLC2,-120.708,39.275999999999996,POINT (-120.708 39.276)
Blue Lakes,California,356,-119.92437,38.608000000000004,POINT (-119.92437 38.608)
Blue Mountain Spring,Oregon,357,-118.51722,44.24767,POINT (-118.51722 44.24767)
Bobs Hollow,Utah,1278,-112.15348999999999,38.94569,POINT (-112.15349 38.94569)
Bogus Basin,Idaho,978,-116.09685,43.76377,POINT (-116.09685 43.76377)
Bonanza King,California,BNK,-122.62799999999999,41.083,POINT (-122.628 41.083)
Bone Springs Div,Wyoming,358,-107.5811,44.67888,POINT (-107.5811 44.67888)
Boss Mountain Mine,British Columbia,1C20P,-120.86667,52.1,POINT (-120.86667 52.1)
Bostetter R.S.,Idaho,359,-114.19272,42.16442,POINT (-114.19272 42.16442)
Boulder Mountain,Montana,360,-111.28973,46.5596,POINT (-111.28973 46.5596)
Bourne,Oregon,361,-118.18786999999999,44.83052,POINT (-118.18787 44.83052)
Bowman Springs,Oregon,362,-118.46715,45.36428,POINT (-118.46715 45.36428)
Box Canyon,Montana,363,-110.24903,45.2719,POINT (-110.24903 45.2719)
Box Creek,Utah,364,-112.01856000000001,38.50809,POINT (-112.01856 38.50809)
Box Springs,Utah,1156,-112.00778999999999,38.49746,POINT (-112.00779 38.49746)
Brackett Creek,Montana,365,-110.93851000000001,45.89107,POINT (-110.93851 45.89107)
Brenda Mines,British Columbia,2F18P,-119.98333000000001,49.85,POINT (-119.98333 49.85)
Brian Head,Utah,1154,-112.85673999999999,37.67994,POINT (-112.85674 37.67994)
Brighton,Utah,366,-111.58166999999999,40.59936,POINT (-111.58167 40.59936)
Bristlecone Trail,Nevada,1111,-115.69543,36.31575,POINT (-115.69543 36.31575)
Brooklyn Lake,Wyoming,367,-106.23208999999999,41.35885,POINT (-106.23209 41.35885)
Brown Duck,Utah,368,-110.58587,40.58102,POINT (-110.58587 40.58102)
Brown Top,Washington,1080,-121.19713,48.92755,POINT (-121.19713 48.92755)
Brumley,Colorado,369,-106.5417,39.08766,POINT (-106.5417 39.08766)
Brundage Reservoir,Idaho,370,-116.13253,45.04315,POINT (-116.13253 45.04315)
Buck Flat,Utah,371,-111.43722,39.134,POINT (-111.43722 39.134)
Buck Pasture,Utah,1192,-110.66068,40.844559999999994,POINT (-110.66068 40.84455999999999)
Buckboard Flat,Utah,1153,-109.44717,37.86943,POINT (-109.44717 37.86943)
Buckinghorse,Washington,1107,-123.45747,47.7086,POINT (-123.45747 47.7086)
Bucks Lake,California,BKL,-121.242,39.85,POINT (-121.242 39.85)
Buckskin Joe,Colorado,938,-106.11307,39.3035,POINT (-106.11307 39.3035)
Buckskin Lower,Nevada,373,-117.53182,41.75067,POINT (-117.53182 41.75067)
Buffalo Park,Colorado,913,-106.59528,40.228609999999996,POINT (-106.59528 40.22861)
Bug Lake,Utah,374,-111.41986999999999,41.68541,POINT (-111.41987 41.68541)
Bumping Ridge,Washington,375,-121.33058,46.81003,POINT (-121.33058 46.81003)
Bunchgrass Mdw,Washington,376,-117.17633000000001,48.68688,POINT (-117.17633 48.68688)
Burgess Junction,Wyoming,377,-107.52917,44.78765,POINT (-107.52917 44.78765)
Burnside Lake,California,1051,-119.8942,38.719429999999996,POINT (-119.8942 38.71943)
Burnt Bridge Creek,British Columbia,3C08P,-126.23333000000001,52.46666999999999,POINT (-126.23333 52.46666999999999)
Burnt Mountain,Washington,942,-121.94032,47.0444,POINT (-121.94032 47.0444)
Burnt Mtn,Montana,981,-109.45961000000001,45.2401,POINT (-109.45961 45.2401)
Burro Mountain,Colorado,378,-107.59853000000001,39.87505,POINT (-107.59853 39.87505)
Burroughs Creek,Wyoming,379,-109.67021000000001,43.69733,POINT (-109.67021 43.69733)
Burts Miller Ranch,Utah,1135,-110.85075,40.98492,POINT (-110.85075 40.98492)
Butte,Colorado,380,-106.95299999999999,38.89433,POINT (-106.953 38.89433)
Calamity,Washington,1109,-122.21633,45.903620000000004,POINT (-122.21633 45.90362)
Calvert Creek,Montana,381,-113.32553,45.8838,POINT (-113.32553 45.8838)
Camas Creek Divide,Idaho,382,-115.3453,43.26548,POINT (-115.3453 43.26548)
Camp Jackson,Utah,383,-109.48723000000001,37.81333,POINT (-109.48723 37.81333)
Canyon,Wyoming,384,-110.51083999999999,44.719609999999996,POINT (-110.51084 44.71961)
Caples Lake,California,CAP,-120.042,38.71,POINT (-120.042 38.71)
Carrot Basin,Montana,385,-111.29403,44.96192,POINT (-111.29403 44.96192)
Carson Pass,California,1067,-120.0022,38.6927,POINT (-120.0022 38.6927)
Casa Vieja Meadows,California,CSV,-118.26799999999999,36.2,POINT (-118.268 36.2)
Cascade,Colorado,386,-107.80601999999999,37.65083,POINT (-107.80602 37.65083)
Cascade #2,Colorado,387,-107.80268000000001,37.658,POINT (-107.80268 37.658)
Cascade Mountain,Utah,1039,-111.60991999999999,40.283,POINT (-111.60992 40.283)
Cascade Summit,Oregon,388,-122.0601,43.59042,POINT (-122.0601 43.59042)
Casper Mtn.,Wyoming,389,-106.31861,42.73389,POINT (-106.31861 42.73389)
Castle Creek,Wyoming,1130,-109.3774,43.6748,POINT (-109.3774 43.6748)
Castle Valley,Utah,390,-112.74093,37.66098,POINT (-112.74093 37.66098)
Cave Mountain,Nevada,1152,-114.6133,39.16337,POINT (-114.6133 39.16337)
Cayuse Pass,Washington,1085,-121.5343,46.86954,POINT (-121.5343 46.86954)
Cedar Kiteen,British Columbia,4B18P,-128.7,55.15,POINT (-128.7 55.15)
Cedar Pass,California,391,-120.3025,41.58233,POINT (-120.3025 41.58233)
Celista Mountain,British Columbia,1F06P,-118.98333000000001,51.4,POINT (-118.98333 51.4)
Chagoopa Plateau,California,CHP,-118.44200000000001,36.497,POINT (-118.442 36.497)
Chalender,Arizona,1139,-112.06231000000001,35.26247,POINT (-112.06231 35.26247)
Chalk Creek #1,Utah,392,-111.04765,40.85464,POINT (-111.04765 40.85464)
Chalk Creek #2,Utah,393,-111.06953999999999,40.885290000000005,POINT (-111.06954 40.88529)
Chamita,New Mexico,394,-106.65682,36.95636,POINT (-106.65682 36.95636)
Chapman Tunnel,Colorado,1101,-106.62931,39.262170000000005,POINT (-106.62931 39.26217)
Chemult Alternate,Oregon,395,-121.80662,43.22625,POINT (-121.80662 43.22625)
Chepeta,Utah,396,-110.0105,40.77458,POINT (-110.0105 40.77458)
Chilkoot Meadow,California,CHM,-119.49,37.41,POINT (-119.49 37.41)
Chilliwack River,British Columbia,1D17P,-121.7,49.01667,POINT (-121.7 49.01667)
Chisana,Alaska,1093,-142.049,62.068999999999996,POINT (-142.049 62.069)
Chocolate Gulch,Idaho,895,-114.41812,43.7685,POINT (-114.41812 43.7685)
Cinnabar Park,Wyoming,1046,-106.23095,41.23837,POINT (-106.23095 41.23837)
Clackamas Lake,Oregon,398,-121.75443,45.096579999999996,POINT (-121.75443 45.09658)
Clayton Springs,Utah,983,-111.83355,37.9725,POINT (-111.83355 37.9725)
Clear Creek #1,Utah,399,-111.28363,39.86671,POINT (-111.28363 39.86671)
Clear Creek #2,Utah,400,-111.25153999999999,39.89275,POINT (-111.25154 39.89275)
Clear Lake,Oregon,401,-121.6916,45.188320000000004,POINT (-121.6916 45.18832)
Cloud Peak Reservoir,Wyoming,402,-107.06057,44.40343,POINT (-107.06057 44.40343)
Clover Meadow,Montana,403,-111.8456,45.01788,POINT (-111.8456 45.01788)
Cochetopa Pass,Colorado,1059,-106.59883,38.16283,POINT (-106.59883 38.16283)
Cold Springs,Wyoming,405,-109.44585,43.276759999999996,POINT (-109.44585 43.27676)
Cold Springs Camp,Oregon,406,-122.17683000000001,42.53305,POINT (-122.17683 42.53305)
Coldfoot,Alaska,958,-150.183,67.25333,POINT (-150.183 67.25333000000001)
Cole Canyon,Wyoming,982,-104.41056999999999,44.48632,POINT (-104.41057 44.48632)
Cole Creek,Montana,407,-109.34548000000001,45.19405,POINT (-109.34548 45.19405)
Columbine,Colorado,408,-106.60408000000001,40.3948,POINT (-106.60408 40.3948)
Columbine Pass,Colorado,409,-108.38248999999999,38.41795,POINT (-108.38249 38.41795)
Columbus Basin,Colorado,904,-108.02445,37.44147,POINT (-108.02445 37.44147)
Combination,Montana,410,-113.39358,46.46523,POINT (-113.39358 46.46523)
Cool Creek,Idaho,411,-115.29528,46.76361,POINT (-115.29528 46.76361)
Cooper Lake,Alaska,959,-149.6936,60.390269999999994,POINT (-149.6936 60.39026999999999)
Copeland Lake,Colorado,412,-105.56861,40.20778,POINT (-105.56861 40.20778)
Copper Bottom,Montana,413,-112.595,47.056779999999996,POINT (-112.595 47.05678)
Copper Camp,Montana,414,-112.72955,47.081579999999995,POINT (-112.72955 47.08158)
Copper Mountain,Colorado,415,-106.17095,39.489540000000005,POINT (-106.17095 39.48954000000001)
