Name,ID,Elevation_ft,Latitude,Longitude,HUC
Panguitch Lake RS,"1148	",8350,37.70463,-112.65037,"160300010402	"
Paradise,"679	",5130,46.78265,-121.74765,"171100150104	"
Paradise Meadow,"PDS	",7650,38.047,-119.67,"180400090503	"
Park Cone,"680	",9600,38.81996,-106.58974,"140200010107	"
Park Creek Ridge,"681	",4600,48.44488,-120.91551,"170200090106	"
Park Mountain,"1F03P	",6093,50.43333,-118.61667,"	"
Park Reservoir,"682	",9960,39.04644,-107.87414,"140200050111	"
Parker Peak,"683	",9400,44.73396,-109.91484,"100700010502	"
Parleys Summit,"684	",7585,40.76184,-111.62917,"160201020103	"
Parrish Creek,"971	",7740,40.93417,-111.81372,"160201020501	"
Pascoes,"PSC	",9150,35.967,-118.35,"180300010506	"
Payson R.S.,"686	",8044,39.92976,-111.63109,"160202020601	"
Peavine Ridge,"687	",3420,45.04148,-121.93252,"170900110306	"
Pepper Creek,"1104	",2140,46.10242,-121.95555,"170800020111	"
Peterson Flat,"PET	",7150,41.302,-122.528,"180102110201	"
Peterson Meadows,"930	",7200,46.12588,-113.30792,"170102020101	"
Phantom Valley,"688	",9030,40.39937,-105.84757,"140100010302	"
Phillips Bench,"689	",8200,43.51687,-110.91258,"170401030504	"
Pickfoot Creek,"690	",6650,46.57978,-111.26832,"100301030501	"
Pickle Keg,"691	",9020,39.01219,-111.58259,"160300030402	"
Pierce R.S.,"1142	",3080,46.49597,-115.7957,"170603060401	"
Pigtail Peak,"692	",5800,46.62153,-121.38643,"170300020301	"
Pike Creek,"693	",5930,48.30305,-113.32868,"100302010103	"
Pilot Peak,"PLP	",6800,39.786,-120.875,"180201230601	"
Pine Creek,"694	",8734,38.88185,-112.24915,"160300051307	"
Pine Creek Pass,"695	",6720,43.56998,-111.21157,"170402040101	"
Pine Pass,"4A02P	",4547,55.35,-122.63333,"	"
Pinto Rock,"1263	",4440,46.32318,-121.94219,"170800040405	"
Placer Basin,"696	",8830,45.41905,-110.08844,"100700020701	"
Pocket Creek,"1133	",9360,42.7121,-109.4112,"140401020505	"
Poison Flat,"697	",7736,38.50576,-119.62624,"160502010102	"
Poison Ridge,"PSR	",6900,37.403,-119.52,"180400061101	"
